Episode Number,English Title,Release Date,Color
08,Episode of Alabasta: The Desert Princess and the Pirates,"March 3, 2007",#ABCDEF
299,The Drawn Sword's Fierce Attack! Zoro vs. Kaku Powerful Slash Showdown,"March 4, 2007",#F2F2F2
300,Zoro the Fierce God! The Incarnation of Asura Revealed by His Soul,"March 11, 2007",#F2F2F2
301,Spandam's Shock! A Hero Stands on the Tower of Justice,"March 18, 2007",#F2F2F2
302,Robin's Liberation! Luffy vs. Lucci: Peak of the Decisive Battle,"March 25, 2007",#F2F2F2
303,The Criminal is Boss Luffy? Chase the Vanished Great Sakura Tree,"April 1, 2007",#FFFF79
304,"If I Can't Win, I Can't Protect Anyone! Gear Third Activates","April 8, 2007",#F2F2F2
305,The Terrifying Past! Dark Justice and Rob Lucci,"April 15, 2007",#F2F2F2
306,A Phantom Mermaid is Here? Within Fading Consciousness,"April 22, 2007",#F2F2F2
307,The Island Sinking in Gunfire! Franky's Outcry of Regret,"April 29, 2007",#F2F2F2
308,Wait for Luffy! Fight to the Death on the Bridge of Hesitation!,"May 6, 2007",#F2F2F2
309,Feelings Put Into Fists! Luffy's Full-Power Gatling,"May 13, 2007",#F2F2F2
310,A Friend Approaches from the Sea! The Straw Hat Crew's Strongest Bonds,"May 20, 2007",#F2F2F2
311,Everyone Escapes! The Path to Victory is for the Pirates,"May 27, 2007",#F2F2F2
312,Thank You Merry! The Sea of Separation in the Snow,"June 3, 2007",#F2F2F2
313,The Disturbance of Peace! The Vice-Admiral with the Fist of Love,"June 10, 2007",#F2F2F2
314,The Strongest Family Lineage? Luffy's Father Revealed!,"June 17, 2007",#F2F2F2
315,Its Name is The New World! The Whereabouts of the Great Grand Line!,"June 24, 2007",#F2F2F2
316,Shanks Moves! Ceremony to the Rampaging Age,"July 1, 2007",#F2F2F2
317,The Girl Searching for the Yagara! Great Investigation in the Water Metropolis!,"July 8, 2007",#CCFFFF
318,The Mother is Strong! Zoro's Slapstick Housework Help,"July 15, 2007",#CCFFFF
319,Sanji Crashes! The Mysterious Old Man and Intense Cooking,"July 22, 2007",#CCFFFF
320,Everyone's Finally Wanted! The Crew of Over Six Hundred Million!,"August 19, 2007",#F2F2F2
321,The King of Beasts that will Cross the Ocean! The Dream Ship's Magnificent Completion!,"August 26, 2007",#F2F2F2
322,Goodbye my Lovable Followers! Franky Departs,"September 2, 2007",#F2F2F2
323,"Departure from the Water City! The Distinction of a Man, Usopp's Duel","September 9, 2007",#F2F2F2
324,Circling Bounties! The Hometowns Dance as the Ship Advances!,"September 16, 2007",#F2F2F2
325,The Most Evil Ability! Blackbeard's Darkness Attacks Ace,"September 23, 2007",#F2F2F2
326,Mysterious Party of Pirates! The Sunny and a Dangerous Trap,"October 14, 2007",#CCFFFF
327,"Sunny in a Pinch! Roar, Secret Superspeed Mecha","October 21, 2007",#CCFFFF
328,"The Dream Sinking in the New World! The Pirate of Despair, Puzzle","October 28, 2007",#CCFFFF
329,The Assassins Attack! The Great Battle Above the Ice Begins,"November 4, 2007",#CCFFFF
330,The Hard Fights of the Straw Hat Crew! The Pirate Soul Banking it All on the Flag!,"November 11, 2007",#CCFFFF
331,Hot Full Throttle! The Twins' Magnetic Power Draws Near,"November 18, 2007",#CCFFFF
332,The Great Chaos Mansion! The Angry Don and the Imprisoned Crew,"November 25, 2007",#CCFFFF
333,The Phoenix Returns! The Dream of the Pirate Flag Sworn to a Friend,"December 2, 2007",#CCFFFF
334,The Super Final Atsu Atsu Battle! Luffy vs. the Scortching Don,"December 9, 2007",#CCFFFF
335,Waiting in the New World! Farewell to the Courageous Pirates,"December 16, 2007",#CCFFFF
336,Chopper Man Departs! Protect the TV Station by the Shore,"December 23, 2007",#FFFF79
337,Venture Into the Devil's Sea! The Mysterious Skeleton Floating Through the Fog,"January 6, 2008",#F2F2F2
338,The Delight of Having Met People! The Gentleman Skeleton's True Colors,"January 13, 2008",#F2F2F2
339,One Phenomenon After Another! Disembarking at Thriller Bark,"January 20, 2008",#F2F2F2
340,The Man Called a Genius! Hogback Appears!,"January 27, 2008",#F2F2F2
341,Nami in Big Trouble! The Zombie Mansion and the Invisible Man,"February 3, 2008",#F2F2F2
342,Mystery of the Zombies! Hogback's Nightmarish Research Laboratory,"February 10, 2008",#F2F2F2
343,His Name is Moria! Trap of the Great Shadow-Stealing Pirate,"February 17, 2008",#F2F2F2
344,Feast of the Zombie Song! The Bell of the Night Raid is a Sound of Darkness,"February 24, 2008",#F2F2F2
09,"Episode of Chopper Plus: Bloom in Winter, Miracle Sakura","March 1, 2008",#ABCDEF
345,Filled with Animals!? Perona's Wonder Garden,"March 2, 2008",#F2F2F2
346,Disappearing Straw Hat Crew! The Mysterious Swordsman Appears!,"March 9, 2008",#F2F2F2
347,Leftover Chivalry! The Traitorous Zombie who Protects Nami,"March 16, 2008",#F2F2F2
348,"Coming from the Sky! That Man is the ""Humming"" Swordsman!","March 23, 2008",#F2F2F2
349,Luffy in an Emergency! The Living Place of the Strongest Shadow!,"March 30, 2008",#F2F2F2
350,The Warrior Called a Demon!! The Time of Oars' Resurrection,"April 20, 2008",#F2F2F2
351,Awakening After 500 Years!! Oars Revives!!,"April 27, 2008",#F2F2F2
352,Conviction Strong Enough to Beg for One's Life!! Brook Protects his Afro,"May 4, 2008",#F2F2F2
353,A Man's Oath Never Dies!! To the Friend who Waits Under a Far-Away Sky,"May 11, 2008",#F2F2F2
354,We will Definitely Meet Again!! Brook and the Cape of the Promise,"May 18, 2008",#F2F2F2
355,"Food, Nami and Shadows!! Luffy's Angry Counterattack","May 25, 2008",#F2F2F2
356,Usopp the Strongest? Leave the Negatives to Me,"June 1, 2008",#F2F2F2
357,Sudden Death of the General Zombies!! Oars in an Adventurous Mood!!,"June 8, 2008",#F2F2F2
358,"Sanji, the Knight of Flames!! Kick Down the False Ceremony","June 15, 2008",#F2F2F2
359,Perverted Connection? Sanji's Stolen Dream,"June 22, 2008",#F2F2F2
360,Saving Hero! The Enemy is the Invincible Princess,"June 29, 2008",#F2F2F2
361,Perona's Terror!! The U in Uso is the U in Usopp,"July 6, 2008",#F2F2F2
362,Slashes Dancing on the Roof! Finale - Zoro vs. Ryuma,"July 13, 2008",#F2F2F2
363,Chopper's Rage!! Hogback's Demonic Medical Practice,"July 20, 2008",#F2F2F2
364,Oars Roars!! Come Out Straw Hat Crew,"August 3, 2008",#F2F2F2
365,The Enemy is Luffy!! The Strongest Zombie vs. the Straw Hat Crew,"August 10, 2008",#F2F2F2
366,Defeat Absalom!! Nami's Lightning Attack of Friendship!!,"August 17, 2008",#F2F2F2
367,One Down!! Sure Kill Straw Hat Docking?,"August 24, 2008",#F2F2F2
368,Soundless Invasion!! The Mysterious Visitor: Kuma the Tyrant,"August 31, 2008",#F2F2F2
369,Oars Plus Moria - The Greatest Combination of Brains and Brawn,"September 7, 2008",#F2F2F2
370,A Secret Strategy to Turn the Tables - Nightmare Luffy Appears,"September 14, 2008",#F2F2F2
371,The Straw Hat Crew Annihilated - Full-Throttle Kage Kage Abilities,"September 21, 2008",#F2F2F2
372,The Battle for Superiority Starts! - Luffy vs. Luffy,"September 28, 2008",#F2F2F2
373,The Conclusion Arrives! - Deliver the Finishing Blow,"October 5, 2008",#F2F2F2
374,The Bodies Vanish! - The Morning Sun Pierces Through the Nightmare Island!,"October 12, 2008",#F2F2F2
375,The Endless Crisis! Orders to Obliterate the Straw Hat Crew,"October 19, 2008",#F2F2F2
376,Kuma's Nikyu Nikyu Power That Deflect Everything,"November 9, 2008",#F2F2F2
377,"My Crewmate's Pain is My Pain, Zoro Fights Prepared to Die","November 16, 2008",#F2F2F2
378,Promise on a Day Long Ago - The Pirate's Song and a Tiny Whale,"November 23, 2008",#F2F2F2
2,One Piece: Romance Dawn Story,"November 24, 2008",#FFCCCC
379,Brook's Past - Sad Farewell to the Cheerful Friend,"November 30, 2008",#F2F2F2
380,Bink's Sake - The Song that Connects the Past and Present,"December 7, 2008",#F2F2F2
381,"A New Crewmate! - The Musician ""Humming Brook""","December 14, 2008",#F2F2F2
382,Noro Noro Menace - Return of Foxy the Silver Fox,"December 21, 2008",#CCFFFF
383,The Great Treasure Contest! Collapse! Spa Island,"December 28, 2008",#CCFFFF
384,Brook's Hard Struggle - The Difficult Path to Becoming a True Crewmate?,"January 11, 2009",#CCFFFF
385,Arriving at Halfway Through the Grand Line! The Red Line,"January 18, 2009",#F2F2F2
386,Hatred of the Straw Hat Crew - Enter Iron Mask Duval,"January 25, 2009",#F2F2F2
387,The Fated Reunion! Save the Imprisoned Fishman,"February 1, 2009",#F2F2F2
388,Tragedy! The Truth of the Unmasked Duval,"February 8, 2009",#F2F2F2
389,Explosion! The Sunny's Super Secret Weapon: Gaon Cannon,"February 15, 2009",#F2F2F2
390,Landing to Get to Fishman Island - The Sabaody Archipelago,"February 22, 2009",#F2F2F2
391,"Tyranny! The Rulers of Sabaody, the Celestial Dragons","March 1, 2009",#F2F2F2
392,New Rivals Gather! The 11 Supernovas,"March 8, 2009",#F2F2F2
393,The Target is Camie!! The Kidnappers' Evil Draws Near,"March 15, 2009",#F2F2F2
394,Rescue Camie - The Dark History of the Archipelago,"March 29, 2009",#F2F2F2
395,Time Limit - The Human Auction Begins,"April 5, 2009",#F2F2F2
396,The Fist Explodes! Destroy the Auction,"April 12, 2009",#F2F2F2
397,Huge Panic! Struggle in the Auction Hall,"April 19, 2009",#F2F2F2
398,Admiral Kizaru Moves! The Sabaody Archipelago in Chaos,"April 26, 2009",#F2F2F2
399,Break Through the Encirclement! Marines vs. Three Captains,"May 3, 2009",#F2F2F2
400,Roger and Rayleigh - The Pirate King and His Right Hand,"May 10, 2009",#F2F2F2
401,Impossible to Avoid!? Admiral Kizaru's Speed of Light Kick!!,"May 17, 2009",#F2F2F2
402,Overwhelming! The Marine Combat Weapon Pacifista,"May 24, 2009",#F2F2F2
403,Another Strong Enemy Appears! Broadaxe-Wielding Sentomaru,"May 31, 2009",#F2F2F2
404,Admiral Kizaru's Fierce Attack - The Straw Hat Crew's Desperate Situation!,"June 7, 2009",#F2F2F2
405,Disappearing Crew - The Final Day of the Straw Hat Crew,"June 14, 2009",#F2F2F2
406,Special Historical Arc - Boss Luffy Appears Again,"June 21, 2009",#FFFF79
407,Special Historical Arc - Destroy! Thriller Company's Trap,"June 28, 2009",#FFFF79
408,Landing! No-Boys-Allowed Island Amazon Lily,"July 5, 2009",#F2F2F2
409,Hurry! Back to the Crew - Adventure on the Isle of Women,"July 12, 2009",#F2F2F2
410,Everyone's Drunk on Love! Pirate Empress Hancock,"July 19, 2009",#F2F2F2
411,The Secret Hidden on Their Backs - Luffy Encounters the Snake Princess,"August 2, 2009",#F2F2F2
412,The Heartless Judgment! Marguerite Turned to Stone!!,"August 9, 2009",#F2F2F2
413,Luffy's Hard Trial! The Power of the Snake Sisters' Haki!!,"August 16, 2009",#F2F2F2
414,Battle with Full-Powered Abilities!! Gomu Gomu vs. Hebi Hebi,"August 23, 2009",#F2F2F2
415,Hancock's Confession - The Sisters' Disgusting Past,"August 30, 2009",#F2F2F2
416,Rescue Ace! The New Destination is the Great Prison,"September 6, 2009",#F2F2F2
417,Love is a Hurricane! Hancock in Love,"September 13, 2009",#F2F2F2
418,The Crewmates' Whereabouts - Weather Science and Karakuri Island,"September 20, 2009",#F2F2F2
419,The Crewmates' Whereabouts - The Island of Giant Birds and the Pink Paradise!,"September 27, 2009",#F2F2F2
420,The Crewmates' Whereabouts - The Bridge that Connects Islands and Man-Eating Plants,"October 4, 2009",#F2F2F2
421,The Crewmates' Whereabouts - The Negative Princess and the Devil King!,"October 11, 2009",#F2F2F2
422,A deadly Infiltration! The Underwater Prison Impel Down!,"October 18, 2009",#F2F2F2
423,Reunion in Hell!? The User of the Bara Bara No Mi!,"October 25, 2009",#F2F2F2
424,Break through Crimson Hell! Buggys great Uproar Plan,"November 1, 2009",#F2F2F2
425,The Prison's strongest Man! Introduction of the Poison-Man Magellan,"November 8, 2009",#F2F2F2
426,Movie-connected Special: The 'Gold Lion's' Ambition Moves Forward,"November 15, 2009",#FFFF79
427,Movie-connected Special: 'Little East Blue' is Targeted,"November 22, 2009",#FFFF79
428,Movie-connected Special: The Amigo Pirate Crew's Vicious Assault,"November 29, 2009",#FFFF79
429,Movie-connected Special: The Decisive Battle! Luffy vs. Largo,"December 6, 2009",#FFFF79
10,Strong World,"December 12, 2009",#ABCDEF
430,"The Imprisoned Royal Shichibukai! Jinbe, Knight of the Sea","December 13, 2009",#F2F2F2
431,The Trap of Chief Guard Saldeath - Level 3 Starvation Hell,"December 20, 2009",#F2F2F2
432,The Liberated Swan! Reunion! Bon Kurei,"December 27, 2009",#F2F2F2
433,Chief Warden Magellan Moves - The Net to Trap Straw Hat Is Complete!,"January 10, 2010",#F2F2F2
434,Preparations for War! A Decisive Battle in Level 4 - Blazing Hell,"January 17, 2010",#F2F2F2
435,Magellan's Strength! Bon Kurei Flees Before His Enemy,"January 24, 2010",#F2F2F2
436,The Fight Finished! Luffy's Final Life Risking Attack,"January 31, 2010",#F2F2F2
437,Because He's My Friend - Bon Kurei's Do-or-Die Rescue,"February 7, 2010",#F2F2F2
438,Paradise in Hell - Impel Down Level 5.5,"February 14, 2010",#F2F2F2
439,Luffy's Treatment Begins - Iva's Miraculous Power!!,"February 21, 2010",#F2F2F2
440,Believe in Miracles! Bon Kurei Cheers From His Heart,"February 28, 2010",#F2F2F2
441,Luffy Revives! Iva-san's Jailbreak Plan Begins!!,"March 7, 2010",#F2F2F2
442,"Ace's Convoy Starts - The Offense and Defense of the Lowest Level, Level 6!","March 14, 2010",#F2F2F2
443,The Strongest Team is Formed - Shake Impel Down to it's Core!,"March 21, 2010",#F2F2F2
444,Even More Chaos! Blackbeard Teach Invades,"March 28, 2010",#F2F2F2
445,A Dangerous Meeting! Blackbeard and Shiryu of the Rain,"April 4, 2010",#F2F2F2
446,His Spirit Won't Break! Hannyabal Goes All Out,"April 11, 2010",#F2F2F2
3,One Piece Film Strong World: Episode 0,"April 16, 2010",#FFCCCC
447,The Jet Pistol of Rage - Luffy vs. Blackbeard,"April 18, 2010",#F2F2F2
448,Stop Magellan! Iva-san Unleashes His Secret Attack,"April 25, 2010",#F2F2F2
449,Magellan's Clever Scheme! The Jailbreak Plan is Obstructed,"May 2, 2010",#F2F2F2
450,The Jailbreak Team Driven Into a Corner - Forbidden Move 'Venom Demon',"May 9, 2010",#F2F2F2
451,Cause the Last Miracle - Breaking Through the Gate of Justice,"May 16, 2010",#F2F2F2
452,The Destination is Marine Headquarters - The Ship Sets Out to Rescue Ace!,"May 23, 2010",#F2F2F2
453,The Crewmates' Whereabouts - Weatheria Report and Cyborg Animals,"May 30, 2010",#F2F2F2
454,The Crewmates' Whereabouts - Giant Bird Chicks and a Pink Showdown,"June 6, 2010",#F2F2F2
455,The Crewmates' Whereabouts - The Revolutionary Army and the Forest of Gluttony's Trap!,"June 13, 2010",#F2F2F2
456,The Crewmates' Whereabouts - The Giant Gravestone and Panties of Gratitude,"June 20, 2010",#F2F2F2
457,Special Retrospective Before Marineford - The Siblings' Vow!,"June 27, 2010",#80FF80
458,Special Retrospective Before Marineford - Assemble! The Three Admirals,"July 11, 2010",#80FF80
459,The Time of the Decisive Battle Draws Near! The Marine's Strongest Battle Formation is Ready!,"July 18, 2010",#F2F2F2
460,An Enormous Fleet Appears - Invasion! The Whitebeard Pirates,"August 1, 2010",#F2F2F2
461,The Beginning of the Battle! Ace and Whitebeard's Past,"August 8, 2010",#F2F2F2
462,The Power to Destroy the World! The Gura Gura no Mi's Ability,"August 15, 2010",#F2F2F2
463,Burn Everything to Ash! Admiral Akainu's Power,"August 22, 2010",#F2F2F2
464,The Devil's Descendant! Little Oars Jr. Dashes Off!,"August 29, 2010",#F2F2F2
465,Only the Winner is Justice - Put Into Motion! Sengoku's Plan!,"September 5, 2010",#F2F2F2
466,The Straw Hat Team Arrives — The Battlefield Grows More Intense,"September 12, 2010",#F2F2F2
467,"I'll Save You Even If I Die - Luffy vs. The Marines, The Battle Starts","September 19, 2010",#F2F2F2
468,Consecutive Battles! Devil Fruit User Army vs. Devil Fruit User Army,"September 26, 2010",#F2F2F2
469,Kuma Causes Disaster — Iva-san’s Angry Attack,"October 3, 2010",#F2F2F2
470,Master Swordsman Mihawk - The Black Sword's Slash Draws Near Luffy,"October 10, 2010",#F2F2F2
471,The Extermination Operation Begins - The Might of the Pacifista Army,"October 17, 2010",#F2F2F2
472,Akainu's Plot! Whitebeard Entrapped,"October 24, 2010",#F2F2F2
473,The Encirclement Walls Activated! The Whitebeard Pirates Driven Into a Corner!!,"October 31, 2010",#F2F2F2
474,The Order to Perform the Execution is Given - Break Through the Encircling Wall!,"November 7, 2010",#F2F2F2
475,Rush Into the Final Phase! Whitebeard's Maneuver to Turn the Tides,"November 14, 2010",#F2F2F2
476,Luffy's Strength is Exhausted! All-Out War in the Oris Plaza!!,"November 21, 2010",#F2F2F2
477,Power that Reduces One's Life - Tension Hormones Return,"November 28, 2010",#F2F2F2
478,For a Promise!! Luffy and Koby Clash!,"December 5, 2010",#F2F2F2
479,In Front of the Execution Platform! The Path to Ace is Opened!!,"December 12, 2010",#F2F2F2
480,The Path they Each Chose - Luffy vs. Garp!,"December 19, 2010",#F2F2F2
481,Ace Freed! Whitebeard's Final Captain's Order!,"December 26, 2010",#F2F2F2
482,The Power that Burns Even Fire - Akainu's Ruthless Pursuit,"January 9, 2011",#F2F2F2
483,Searching for an Answer - Fire Fist Ace Dies on the Battlefield,"January 16, 2011",#F2F2F2
484,Marine Headquarters Collapses! Whitebeard's Silent Rage!,"January 23, 2011",#F2F2F2
485,Settling the Score - Whitebeard vs. The Blackbeard Pirates,"January 30, 2011",#F2F2F2
486,The Start of the Show - Blackbeard's Plot Revealed,"February 6, 2011",#F2F2F2
487,Akainu's Tenacity! The Fist of Magma Attacks Luffy,"February 13, 2011",#F2F2F2
488,A Desperate Cry - Seconds of Valor that Change Destiny,"February 20, 2011",#F2F2F2
4,Infiltrate!! Thousand Sunny,"March 5, 2011",#FFCCCC
489,Enter Shanks! The Ultimate War Ends at Last,"March 6, 2011",#F2F2F2
11,One Piece 3D: Straw Hat Chase,"March 19, 2011",#ABCDEF
490,"Powerful Independent Rivals! The Beginning of the ""New Era""!","March 20, 2011",#F2F2F2
491,Arrival at the Island of Women - Cruel Reality Tortures Luffy,"March 27, 2011",#F2F2F2
492,The Strongest Tag-Team! Luffy and Toriko's Hard Struggle!,"April 3, 2011",#FFFF79
493,Luffy and Ace - The Story of the Brothers' Meeting!,"April 10, 2011",#F2F2F2
494,Enter Sabo! The Boy From Grey Terminal,"April 17, 2011",#F2F2F2
495,I Won't Run - Ace's Desperate Rescue Operation,"April 24, 2011",#F2F2F2
496,Someday to the Sea! The Three Brat's Sake Cups of Oath!,"May 1, 2011",#F2F2F2
497,Leaving the Dadan Family!? The Secret Base is Complete!,May 82011,#CCFFFF
498,Apprentice Luffy!? The Man who Fought the Pirate King!,May 152011,#CCFFFF
499,The Battle Against the Big Tiger! Who Will Be the Captain?!,May 222011,#CCFFFF
500,Stolen Freedom! The Nobles' Trap Draws Near the Three Brothers,"May 29, 2011",#F2F2F2
501,The Flames Are Lit - The Gray Terminal's Crisis,"June 5, 2011",#F2F2F2
502,Where Is Freedom? The Boy's Sad Departure,"June 12, 2011",#F2F2F2
503,I'm Counting On You! A Letter From a Brother!,"June 19, 2011",#F2F2F2
504,To Fulfill the Promise - Separate Departures!,"June 26, 2011",#F2F2F2
505,I Want to See Them! Luffy's Tearful Scream,"July 3, 2011",#F2F2F2
506,The Straw Hat Crew Shocked! The Bad News is Received,July 102011,#CCFFFF
507,Reunion with Dark King Rayleigh - It's Time For Luffy's Decision,"July 17, 2011",#F2F2F2
508,Back to the Captain - Jailbreak from Sky Island and the Incident on the Winter Island,"July 31, 2011",#F2F2F2
509,Contact! The Great Swordsman Mihawk - Zoro's Struggle of Willpower,"August 7, 2011",#F2F2F2
510,Sanji's Suffering - The Queen Returns to His Kingdom!,"August 14, 2011",#F2F2F2
511,"An Unexpected Return! Luffy, to Marineford!","August 21, 2011",#F2F2F2
512,Delivered to the Crew - The Big News Comes Through!,"August 28, 2011",#F2F2F2
513,The Pirates Move Out! The Earth Shattering New World,"September 4, 2011",#F2F2F2
514,Live Through Hell - Sanji's Fight with Men at Stake,"September 11, 2011",#F2F2F2
515,I'll Get Stronger and Stronger! Zoro's Vow to his Captain,"September 18, 2011",#F2F2F2
516,"Luffy’s Training Begins. See You 2 Years later, At The Promised Place","September 25, 2011",#F2F2F2
517,"The New Chapter Begins. Regroup, Straw Hat Pirates!","October 2, 2011",#F2F2F2
518,A Hair-Trigger! Luffy vs. Fake Luffy,"October 9, 2011",#F2F2F2
519,"The Marines Move Out, Target the Straw Hat Crew!","October 16, 2011",#F2F2F2
520,"Massive Gathering, Threat of the Fake Straw Hats!","October 23, 2011",#F2F2F2
521,The Battle Begins! The Results of Training!,"October 30, 2011",#F2F2F2
522,Everyone's Reunited! Luffy Sets Sail for the New World!,"November 6, 2011",#F2F2F2
523,A Shocking Revelation - The Man Who Protected the Sunny!,"November 13, 2011",#F2F2F2
524,"Undersea Struggle, The Demon of the Deep Appears!","November 20, 2011",#F2F2F2
525,"Disaster in the Deep Sea, The Straw Hat Crew Gets Lost!","November 27, 2011",#F2F2F2
5,ONE PIECE 3D! Trap Coaster,"December 1, 2011",#FFCC99
526,Undersea Volcanic Eruption! Sailing To Fish-Man Island,"December 4, 2011",#F2F2F2
527,"Landing at Fish-Man Island, The Lovely Mermaids!","December 11, 2011",#F2F2F2
528,Eruption of Excitement! Sanji's Crisis of Life!,"December 18, 2011",#F2F2F2
529,Fish-Man Island Collapses?! Shirley's Prediction!,"December 25, 2011",#F2F2F2
530,"The King of Fish-Man Island, Sea God Neptune!","January 8, 2012",#F2F2F2
531,Ryugu Palace! Led By The Shark That Was Saved!,"January 15, 2012",#F2F2F2
532,The Coward Crybaby! Hard-Shell Tower’s Mermaid Princess,"January 22, 2012",#F2F2F2
533,Emergency Situation! Ryugu Palace Held Captive,"January 29, 2012",#F2F2F2
534,Ryuugu Palace Shaking! Shirahoshi and the Kidnapping,"February 5, 2012",#F2F2F2
535,Hody's Attack! The Beginning of his Vengeful Plan!,"February 12, 2012",#F2F2F2
536,Decisive Battle at Ryugu Palace! Zoro vs. Hody,"February 19, 2012",#F2F2F2
537,Protect Shirahoshi! Decken's Pursuit,"February 26, 2012",#F2F2F2
538,The Crew is Defeated!? Hody Controls Ryugu Palace,"March 4, 2012",#F2F2F2
539,Revived Fate! Nami and the Fish-Man Pirates,"March 18, 2012",#F2F2F2
540,A Hero Who Freed the Slaves! An Adventurer Tiger!,"March 25, 2012",#F2F2F2
541,Kizaru Appears! A Trap Aimed at Tiger,"April 1, 2012",#F2F2F2
542,Team Formation! Save Chopper,"April 8, 2012",#FFFF79
543,The Hero's Last Moments! The Impact of Tiger's Truth,"April 15, 2012",#F2F2F2
544,The Pirates Split - Jinbe vs. Arlong,"April 22, 2012",#F2F2F2
545,Fish-Man Island is Shaking! The Landing of a Celestial Dragon,"April 29, 2012",#F2F2F2
546,Unexpected Disaster! An Assassin's Bullet Shuts the Future,"May 6, 2012",#F2F2F2
547,Back to the Present! Hody Begins to Move,"May 13, 2012",#F2F2F2
548,The Kingdom is Shaking! Instruction for Neptune's Execution,"May 20, 2012",#F2F2F2
549,A Crack Arises! Luffy vs. Jinbe,"May 27, 2012",#F2F2F2
550,Hody's Accident - The Evil Drug's True Power!,"June 3, 2012",#F2F2F2
551,The Decisive Battle Begins at Gyoncorde Plaza!,"June 10, 2012",#F2F2F2
552,Shocking Confession - The Truth about Otohime's Assassination,"June 17, 2012",#F2F2F2
553,"Shirahoshi's Tears! Finally, Luffy's Appearance!","June 24, 2012",#F2F2F2
554,"Big Clash! Straw Hat Pirates vs. 100,000 Opponents","July 1, 2012",#F2F2F2
555,Explosive Move! Zoro and Sanji Sally Forth!,"July 8, 2012",#F2F2F2
556,First Showing! Sunny's Secret Weapons!,"July 15, 2012",#F2F2F2
557,Iron Pirate! Entry of Franky Shogun,"July 29, 2012",#F2F2F2
558,Noah Approaching! The Crisis of Fish-Man Island's Destruction!,"August 5, 2012",#F2F2F2
559,"Hurry Up, Luffy! Shirahoshi's Desperate Situation","August 12, 2012",#F2F2F2
560,Beginning of the Battle! Luffy vs. Hody!,"August 19, 2012",#F2F2F2
5,Episode of Nami: Tears of a Navigator and the Bonds of Friendship,"August 25, 2012",#FF9F80
561,Battle Royal! The Group vs. the New Fish-Man Pirates!,"August 26, 2012",#F2F2F2
562,Luffy is Defeated!? The Hour of Hody's Revenge,"September 2, 2012",#F2F2F2
563,Shocking Truth! Hody's True Identity!,"September 9, 2012",#F2F2F2
564,To Zero! Passionate Desire to Luffy!,"September 16, 2012",#F2F2F2
565,Luffy's Whole Body Blow! Red Hawk Explosion,"September 23, 2012",#F2F2F2
566,Final Conclusion! Hody's Final Battle,"September 30, 2012",#F2F2F2
567,Stop Noah! Elephant Gatling of Desperation!,"October 7, 2012",#F2F2F2
568,To the Future! The Path Towards the Sun!,"October 14, 2012",#F2F2F2
569,Revealed Secret - The Truth of Ancient Weapons,"October 21, 2012",#F2F2F2
570,The Crew Is Surprised! The New Marine Fleet Admiral!,"October 28, 2012",#F2F2F2
571,I Love Sweets! The Emperor Big Mom,"November 4, 2012",#F2F2F2
572,Grim Prospects! A Trap that Waits in the New World,"November 11, 2012",#F2F2F2
573,Finally Setting Sail! Goodbye Fish-Man Island,"November 18, 2012",#F2F2F2
574,To the New World! Aim for the Strongest Sea,"November 25, 2012",#F2F2F2
575,Z's Ambition Arc - The Little Giant Lily!,"December 2, 2012",#CCFFFF
576,Z's Ambition Arc - Introduction of the Mystery of the Strongest Army Corps!,"December 9, 2012",#CCFFFF
6,Episode of Luffy: Hand Island Adventure,"December 15, 2012",#FF9F80
12,One Piece Film: Z,"December 15, 2012",#ABCDEF
577,Z's Ambition Arc - A Desperate Big Escape Strategy!,"December 16, 2012",#CCFFFF
578,Z's Ambition Arc - Luffy vs. Shuzo!,"December 23, 2012",#CCFFFF
1,Glorious Island,"Part 1: December 23, 2012, Part 2: December 30, 2012",#EECFDD
579,"Landing! The Burning Island, Punk Hazard","January 6, 2013",#F2F2F2
580,A Scorching Battle! Luffy vs. the Giant Dragon!,"January 13, 2013",#F2F2F2
581,The Crew is Confused! The Shocking Beheaded Samurai Appears!,"January 20, 2013",#F2F2F2
582,Surprise! The Secret of the Island is Finally Revealed .,"January 27, 2013",#F2F2F2
583,Save the Children! Start of a Gang Fight!,"February 3, 2013",#F2F2F2
584,A Duel of Swordplay! Brook and the Mysterious Samurai Torso,"February 10, 2013",#F2F2F2
585,Shichibukai! Trafalgar Law,"February 17, 2013",#F2F2F2
586,A Big Pinch! Luffy Sinks Into The Cold Lake,"March 3, 2013",#F2F2F2
587,Clash! Law vs. Vice Admiral Smoker,"March 17, 2013",#F2F2F2
588,Reunion after Two Years! Luffy and Law,"March 24, 2013",#F2F2F2
589,Worst of the World - The Scary Scientist Caesar,"March 31, 2013",#F2F2F2
590,History's Strongest Collaboration vs. Glutton of the Sea,"April 7, 2013",#FFFF79
591,Chopper Enraged - Master's Tyrannical Experiments,"April 14, 2013",#F2F2F2
592,Gang Obliteration! Legendary Hitman Attack!,"April 21, 2013",#F2F2F2
593,Save Nami! Luffy's Snow Mountain Battle,"April 28, 2013",#F2F2F2
594,Formation! The Pirate Alliance Luffy-Law!,"May 5, 2013",#F2F2F2
595,Capture Master - The Pirate Alliance's Operation Begins!,"May 12, 2013",#F2F2F2
596,On the Verge of Annihilation - The Monster of Death Flies in,"May 19, 2013",#F2F2F2
597,Big Battle - Caesar Activates his True Ability!,"May 26, 2013",#F2F2F2
